Method description Template: SYKE / IMPACTS		Criteria description guide:  SYKE / IMPACTS		Wesbite in dev: https://estopinj.github.io/dam/ 		Criteria assessment																									
						Outcome			Data compatibility						Assumptions									Model properties						Packages	
Doc. page																															
Author	Status	Assessor	Method list	Category	Sub-category	Objective	Estimand	Validity	Type	Required TS length	Handles few samples	Handles huge datasets (n)	Handles missing data	RS-data proven	Fonctional form	No unobserved confounders	No interference	Well-defined treatments	Common support (positivity)	Causal Markov Condition	Faithfulness	IDD	Model specific	Requires explicit processes	Exposure type	Number of variables	Propaguates uncertainty	Handles lag effects	Parametric nature	Language	Usage
	No	JE	Fingerprint models	Counterfactual & future simulations	Climate change attribution methods	Detection, Effect estimation	Oriented link, Maps & generalisations, Risk ratios, Others	External	Panel data (many samples)	≥ 100	No	Yes	No: requires prelim. correction	Yes	Linear	Required	Not required	Required	Desirable	Inapplicable	Recommended	Relaxes assumption	No specific	Yes	Continuous / Time-varying	Multivariate	Model-specific tools	Possible	Parametric	R, Python, Others	Domain-specific skills
	No	JE	Non-fingerprint models	Counterfactual & future simulations	Climate change attribution methods	Effect estimation, Detection	Oriented link, Maps & generalisations, Risk ratios, Others	Moderate confidence	Panel data (many samples)	≥ 100, ≥ 10	Yes ≤ 10	Most do	Partially	Yes	Linear, Non-linear, Assumption-free	Required	Not required	Required	Desirable	Inapplicable	Recommended	Relaxes assumption	No specific	Agnostic	Continuous / Time-varying, Binary	Multivariate, Univariate	Model-specific tools	Possible	Parametric, Semi-parametric, Non-parametric	R, Python, Others	Domain-specific skills, Technical but well documented
	No	JE	Causal generative modeling	Counterfactual & future simulations, Causal ML, Causal discovery		Effect estimation, Causal relationship(s), Scenario projection	ATE, CATE, Mediation effects, Oriented link, Maps & generalisations	Varying	Panel data (many samples)	≥ 10, ≥ 100	No	Yes	Yes	No	Assumption-free	Recommended	Required	Required	Desirable	Inapplicable	Required	Relaxes assumption	No specific	Optional	All	Multivariate, High-dimensional (p≫n)	Needs model-agnostic propagation	Possible	Semi-parametric, Non-parametric	Python	Technical but well documented, Domain-specific skills
	No	JE	Population models	Counterfactual & future simulations	Process-based methods	Effect estimation	Maps & generalisations, ATE, Others	Varying	Time-series (one sample), Panel data (many samples)	≥ 10	Yes ≤ 10	Yes	Partially	Yes	Linear, Non-linear	Recommended	Required	Required	Recommended	Inapplicable	Recommended	Relaxes assumption	No specific	Yes	All	Multivariate	Model-specific tools	Yes	Parametric, Semi-parametric	R, Python	Technical but well documented
	No	JE	Phenology models	Counterfactual & future simulations	Process-based methods	Predictive task + interpretability, Scenario projection, Detection	Maps & generalisations, CATE, Others	Varying	Panel data (many samples)	≥ 10	10 to 100	Most do	Partially	Yes	Quadratic, Non-linear, Additivity	Recommended	Required	Required	Recommended	Inapplicable	Recommended	Relaxes assumption	No specific	Yes	Continuous / Time-varying	Bivariate, Multivariate	Model-specific tools	Yes	Parametric, Semi-parametric	R	Technical but well documented
Rachid Oucheikh	To invite	JE	Physics/ecology informed neural networks (PINNs)	Causal ML, Counterfactual & future simulations, Ecology-guided Modelling		Predictive task + interpretability, Detection, Scenario projection	Maps & generalisations, CATE, Others	Moderate confidence	Time-series (one sample), Panel data (many samples)	Handles ≤ 10, ≥ 10	Yes ≤ 10	Yes	No: requires prelim. correction	Yes	Assumption-free, Non-linear	Relaxes assumption	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Relaxes assumption	No specific	Yes	Continuous / Time-varying	Multivariate, High-dimensional (p≫n)	Needs model-agnostic propagation	Yes	Non-parametric	Python	Technical but well documented, Domain-specific skills
Anne Thomas	To invite	JE	Dynamic vegetation models	Counterfactual & future simulations	Dynamic vegetation models	Effect estimation, Scenario projection	Maps & generalisations, Risk ratios, ATE	Varying	Time-series (one sample), Panel data (many samples)	≥ 10, ≥ 100	Yes ≤ 10	Yes	No: requires prelim. correction	Yes	Non-linear	Recommended	Required	Required	Recommended	Inapplicable	Inapplicable	Relaxes assumption	No specific	Yes	All	Multivariate	Needs model-agnostic propagation	Yes	Parametric	R, Python, Others	Domain-specific skills
Anne Thomas	To invite	JE	FATE-HD	Counterfactual & future simulations	Dynamic vegetation models																										
ULUND	To invite	JE	LPJ-GUESS	Counterfactual & future simulations	Dynamic vegetation models																										
Anne Thomas	To invite	JE	ORCHIDEE	Counterfactual & future simulations	Dynamic vegetation models																										
Risto Heikkinen	To invite	JE	Individual-based models	Counterfactual & future simulations	Individual-based models	Predictive task + interpretability, Scenario projection, Effect estimation	Maps & generalisations, CATE, ATE	Internal	Spatial only (cross-sectional), Panel data (many samples)	≥ 100	No	Yes	Partially	Few applications	Non-linear, Rule-based	Recommended	Required	Required	Desirable	Inapplicable	Inapplicable	Recommended	Dispersal / reproduction / mortality	Optional	Continuous / Time-varying, Categorical, Multivariate	Multivariate	Needs model-agnostic propagation	Yes	Semi-parametric, Rule-based	R, Others	Technical but well documented, Domain-specific skills
Risto Heikkinen	To invite	JE	RangeShifter	Counterfactual & future simulations	Individual-based models								No: requires prelim. correction														Needs model-agnostic propagation				
WR	To invite	JE	Land use change models	Counterfactual & future simulations	Land use change models	Predictive task + interpretability, Scenario projection	Maps & generalisations, ATE, CATE	Moderate confidence	Spatial only (cross-sectional), Panel data (many samples)	≥ 10	Yes ≤ 10	Yes	No: requires prelim. correction	Yes	Linear, Non-linear, Rule-based	Recommended	Relaxes assumption	Required	Recommended	Inapplicable	Inapplicable	Recommended	Parallel trends	Optional	All	Multivariate	Needs model-agnostic propagation	Possible	Semi-parametric, Rule-based	R, Python, GIS	Varying
WR	To invite	JE	CLUE models	Counterfactual & future simulations	Land use change models																										
WR	To invite	JE	SLEUTH model	Counterfactual & future simulations	Land use change models																										
	No	JE	RCTs	Experiments, Ecology-guided Modelling, Adjusted methods (Backdoor C.)		Effect estimation, Causal relationship(s), Detection	ATT, ATE, CATE, Mediation effects, Oriented link, Risk ratios, Others	External	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	Yes CT design	No	Partially	No	Inapplicable	Relaxes assumption	Required	Required	Required	Inapplicable	Relaxes assumption	Recommended	No specific	Agnostic	Binary, Categorical	Bivariate, Multivariate	Model-specific tools	Possible	Inapplicable	Inapplicable	Inapplicable
	No	JE	Randomised saturation designs	Experiments		Effect estimation, Causal relationship(s), Detection	ATT, ATE, CATE, Mediation effects, Oriented link, Risk ratios	Internal, Varying	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	Yes CT design	No	Partially	No	Inapplicable	Relaxes assumption	Relaxes assumption	Required	Recommended	Inapplicable	Relaxes assumption	Recommended	No specific	Agnostic	Binary, Categorical	Multivariate	Model-specific tools	Possible	Inapplicable	Inapplicable	Inapplicable
	No	JE	Randomized encouragement designs	Experiments		Effect estimation, Causal relationship(s), Detection	ATE, CATE, ATT	Internal	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	Yes ≤ 10	No	Partially	No	Linear	Relaxes assumption	Required	Relaxes assumption	Recommended	Inapplicable	Relaxes assumption	Recommended	Instrument validity	Agnostic	Binary	Multivariate	Model-specific tools	Possible	Parametric, Semi-parametric	R, Python, Others	Technical but well documented
	No	JE	Instrumental variables	Quasi-experiments, Adjusted methods (Backdoor C.), Causal ML, Experiments		Effect estimation, Causal relationship(s), Detection	LATE, ATT, Others	Varying	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	Yes ≤ 10	Yes	No: requires prelim. correction	Few applications	Linear, Non-linear	Relaxes assumption	Recommended	Recommended	Recommended	Recommended	Recommended	Recommended	Instrument validity	Agnostic	Binary, Categorical, Continuous / Time-varying	Multivariate	Model-specific tools	No	Parametric, Semi-parametric	R, Python, Others	Technical but well documented
	No	JE	Gradient / Stratified analyses	Experiments, Adjusted methods (Backdoor C.), Ecology-guided Modelling		Effect estimation, Causal relationship(s), Detection	ATE, CATE, Risk ratios	Varying	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	Yes ≤ 10	Yes	Partially	Few applications	Linear, Additivity, Non-linear	Recommended	Desirable	Recommended	Recommended	Recommended	Desirable	Desirable	No specific	Agnostic	Binary, Categorical, Continuous / Time-varying	Bivariate, Multivariate	Model-specific tools	Possible	Parametric, Semi-parametric	R, Python	Technical but well documented
Pierre Gaüzère	To invite	JE	SEMs	Ecology-guided Modelling		Effect estimation, Causal relationship(s)	Mediation effects, Oriented link, ATE, ATT	Varying	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	10 to 100	Most do	Yes	Few applications	Linear, Non-linear	Required	Required	Required	Desirable	Recommended	Required	Desirable	No specific	Yes	Binary, Categorical, Continuous / Time-varying, Multivariate	Multivariate	Model-specific tools	Possible	Parametric, Rule-based	R, Others, Python	Technical but well documented
	No	JE	Linear regressions & generalized extensions	Ecology-guided Modelling, Adjusted methods (Backdoor C.)	Linear regressions & extensions	Effect estimation, Predictive task + interpretability, Detection	ATE, CATE, ATT, Others	Varying	Spatial only (cross-sectional), Time-series (one sample), Panel data (many samples)	Handles ≤ 10	Yes ≤ 10	Yes	No: requires prelim. correction	Yes	Linear, Log-linear, Quadratic	Required	Required	Required	Recommended	Recommended	Required	Required	No specific	Yes	Binary, Categorical, Continuous / Time-varying	Multivariate, High-dimensional (p≫n)	Model-specific tools	Yes	Parametric	R, Python, GIS, Others	User-friendly, Technical but well documented
Risto, Veera & Jussi (SYKE)	To invite		GLMs, GEEs	Ecology-guided Modelling, Adjusted methods (Backdoor C.)	Linear regressions & extensions																										
	No	JE	GAMs	Ecology-guided Modelling, Adjusted methods (Backdoor C.)	Linear regressions & extensions	Effect estimation, Predictive task + interpretability, Detection	ATT, ATE, CATE, Maps & generalisations	Varying	Spatial only (cross-sectional), Time-series (one sample), Panel data (many samples)	Handles ≤ 10	Yes ≤ 10	Most do	No: requires prelim. correction	Few applications	Additivity, Assumption-free	Required	Required	Required	Recommended	Recommended	Required	Required	No specific	Agnostic	Continuous / Time-varying, Categorical, Binary	Multivariate	Model-specific tools	Possible	Semi-parametric	R, Python, Others	User-friendly, Technical but well documented
	No	JE	GLMMs, GAMMs	Ecology-guided Modelling	Linear regressions & extensions	Effect estimation, Predictive task + interpretability	CATE, Others, Maps & generalisations	Varying	Spatial only (cross-sectional), Time-series (one sample), Inapplicable	≥ 10	10 to 100	Most do	No: requires prelim. correction	Few applications	Linear, Additivity, Assumption-free	Recommended	Required	Required	Required	Recommended	Required	Relaxes assumption	Normality of random effects	Agnostic	Binary, Categorical, Continuous / Time-varying, Multivariate	Multivariate	Model-specific tools	No	Parametric, Semi-parametric	R, Python	Technical but well documented
	No	JE	Predictive models +  interpretability metrics	Ecology-guided Modelling	Predictive models +  interpretability metrics	Predictive task + interpretability, Scenario projection	Maps & generalisations, CATE, Others	Moderate confidence	Spatial only (cross-sectional), Time-series (one sample), Panel data (many samples)	≥ 10	No	Yes	Partially	Yes	Assumption-free	Desirable	Desirable	Inapplicable	Desirable	Inapplicable	Inapplicable	Required	No specific	Agnostic	All	High-dimensional (p≫n)	Needs model-agnostic propagation	No	Non-parametric, Semi-parametric	R, Python, Others	Technical but well documented, Domain-specific skills
Sara Si-Moussi	To invite	JE	RF + variance partition	Ecology-guided Modelling	Predictive models +  interpretability metrics																										
Sara Si-Moussi	To invite	JE	DL + SHAP	Ecology-guided Modelling	Predictive models +  interpretability metrics																										
	No	JE	Mediation & moderator analysis	Adjusted methods (Backdoor C.)		Effect estimation, Detection	Mediation effects, Oriented link, CATE	Varying	Spatial only (cross-sectional), Time-series (one sample), Panel data (many samples)	Handles ≤ 10	Yes ≤ 10	Most do	Partially	Few applications	Linear, Additivity, Non-linear	Required	Recommended, Required	Required	Recommended	Recommended	Required	Required	No M-O confounding	Optional	Categorical, Binary, Continuous / Time-varying	Multivariate	Model-specific tools	No	Parametric, Semi-parametric	R, Python	Technical but well documented
	No	JE	Linear path method	Adjusted methods (Backdoor C.)		Effect estimation, Causal relationship(s)	Mediation effects, Oriented link, ATE	Internal	Spatial only (cross-sectional), Panel data (many samples)	≥ 10	Yes ≤ 10	No	Partially	No	Linear, Additivity	Required	Required	Required	Recommended	Required	Required	Required	No specific	Optional	Binary, Categorical, Continuous / Time-varying	Multivariate	Inherent capacity	No	Parametric	R, Python	Technical but well documented
	No	JE	Frontdoor criterion	Adjusted methods (Backdoor C.)	Alternative effect identification methods	Effect estimation, Causal relationship(s)	ATE, Mediation effects	Internal	Spatial only (cross-sectional), Time-series (one sample), Panel data (many samples)	Handles ≤ 10	Yes ≤ 10	Yes	No: requires prelim. correction	No	Assumption-free	Relaxes assumption	Required	Required	Recommended	Required	Recommended	Inapplicable	No M-O confounding, Effect entirely mediated	Inapplicable	All	Multivariate	Needs model-agnostic propagation	No	Inapplicable	R, Python	Domain-specific skills
	No	JE	Doubly robust estimation	Adjusted methods (Backdoor C.), Causal ML, Quasi-experiments		Effect estimation	ATE, ATT, CATE	Internal	Spatial only (cross-sectional), Panel data (many samples)	≥ 10	10 to 100	Yes	Partially	Few applications	Linear, Non-linear, Assumption-free	Recommended	Recommended	Required	Required	Recommended	Recommended	Desirable	No specific	Agnostic	Binary, Continuous / Time-varying	Multivariate	Model-specific tools	No	Semi-parametric	R, Python	Technical but well documented
	No	JE	RDD (LATE)	Quasi-experiments, Adjusted methods (Backdoor C.)		Effect estimation	LATE	Internal	Spatial only (cross-sectional), Panel data (many samples)	Inapplicable	10 to 100	Most do	No: requires prelim. correction	Few applications	Linear, Quadratic	Desirable	Required	Required	Required	Recommended	Recommended	Required	Cutoff + PO continuity	Agnostic	Binary	Bivariate	Model-specific tools	Possible	Parametric	R, Python	Technical but well documented
	No	JE	DiD & BACI	Quasi-experiments, Adjusted methods (Backdoor C.)		Effect estimation, Detection, Scenario projection	ATT, ATE	Internal	Panel data (many samples)	Handles ≤ 10	Yes CT design	Most do	Partially	Yes	Linear	Relaxes assumption	Required	Required	Required	Desirable	Desirable	Required	Parallel trends, B/A treatment obs.	Agnostic	Binary	Bivariate, Multivariate	Model-specific tools	Possible	Parametric	R, Python	Technical but well documented
Romain Goury	To invite	JE	Panel designs, TWFE	Quasi-experiments, Adjusted methods (Backdoor C.)		Effect estimation	ATT, ATE, CATE	Varying	Panel data (many samples)	≥ 10	10 to 100	Yes	No: requires prelim. correction	Few applications	Linear, Log-linear	Time-varying OR site-varying	Required	Required	Recommended	Recommended	Recommended	Relaxes assumption	No specific	Optional	Binary, Categorical, Continuous / Time-varying	Multivariate	Model-specific tools	No	Parametric	R, Python, Others	Technical but well documented, Domain-specific skills
	No	JE	Matching methods	Quasi-experiments, Adjusted methods (Backdoor C.)		Effect estimation, Detection	ATT, ATE, CATE	Varying	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	10 to 100	Yes	No: requires prelim. correction	Yes	Assumption-free	Required	Required	Required	Required	Recommended	Recommended	Required	No specific	Agnostic	Binary, Categorical, Continuous / Time-varying, Compositional, Multivariate	Multivariate	Needs model-agnostic propagation	Possible	Non-parametric	R, Python, Others	User-friendly
	No	JE	Weighting & Propensity scores	Quasi-experiments, Adjusted methods (Backdoor C.)		Effect estimation, Detection	ATE, ATT, CATE	Varying	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10	10 to 100	Yes	No: requires prelim. correction	Yes	Non-linear	Required	Required	Required	Required	Recommended	Recommended	Required	Good covariate balance	Agnostic	Binary, Categorical, Continuous / Time-varying, Compositional, Multivariate	Multivariate, High-dimensional (p≫n)	Needs model-agnostic propagation	Possible	Parametric	R, Python, Others	User-friendly, Technical but well documented
Joaquim Estopinan	Done	JE	Synthetic controls	Quasi-experiments, Adjusted methods (Backdoor C.)		Effect estimation, Scenario projection, Detection	ATT, ATE, Maps & generalisations	Varying	Panel data (many samples)	≥ 10	10 to 100	Yes	Partially	Yes	Assumption-free	Desirable	Required	Required	Required	Recommended	Recommended	Required	Good pretreatment fit, B/A treatment obs.	Agnostic	Binary, Categorical	Multivariate	Model-specific tools	Yes	Non-parametric	R, Python	Technical but well documented
	No	JE	Interrupted time series	Quasi-experiments, Adjusted methods (Backdoor C.)		Effect estimation, Detection	ATT, Maps & generalisations, Others	Internal	Time-series (one sample)	≥ 10	Inapplicable	No	No: requires prelim. correction	Yes	Linear, Log-linear	Required	Required	Required	Recommended	Desirable	Desirable	Recommended	Stationarity, B/A treatment obs.	Inapplicable	Binary	Univariate, Bivariate	Model-specific tools	Yes	Parametric	R, Python	User-friendly
	No		Matrix completion	Quasi-experiments, Adjusted methods (Backdoor C.)																											
	No		Meta-learners	Causal ML	Meta-learners																										
	No		Target transformation (F-learner)	Causal ML	Meta-learners																										
	No		S,T, X learners	Causal ML	Meta-learners																										
	No		NNs	Causal ML																											
	No		BART	Causal ML, Alternative paradigms																											
	No		Causal forests	Causal ML																											
Pierre Gaüzère	To invite		Double Machine learning	Causal ML																											
	No		R-learner, TMLE, MTP	Causal ML	Meta-learners																										
Sara Si-Moussi	To invite		Reinforcement learning	Causal ML																											
	No		Constraint-based methods	Causal discovery	Constraint-based methods																										
	No		PC, PCMCI 	Causal discovery	Constraint-based methods																										
	No		FCI, TsFCI	Causal discovery	Constraint-based methods																										
	No		Score-based methods	Causal discovery	Score-based methods																										
	No		GES, TsGFCI	Causal discovery	Score-based methods																										
	No		Continuous optimization	Causal discovery, Causal ML	Continuous optimization																										
	No		DYNOTEARS	Causal discovery, Causal ML	Continuous optimization																										
	No		Asymmetry-based	Causal discovery	Asymmetry-based																										
Maria J. Santos / UZH	To invite		LiNGAM	Causal discovery	Asymmetry-based																										
Jussi Mäkinen	To invite	JM	Kernel methods	Causal discovery	Asymmetry-based	Detection	CATE	Internal	Spatial only (cross-sectional), Time-series (one sample), Panel data (many samples)	≥ 100	No	Yes	No: requires prelim. correction	Don't know, Few applications	Assumption-free, Non-linear	Relaxes assumption, Recommended	Relaxes assumption, Recommended	Relaxes assumption, Recommended	Relaxes assumption, Recommended	Relaxes assumption, Recommended	Relaxes assumption, Recommended	Relaxes assumption, Recommended	Parallel trends	Optional	Continuous / Time-varying	High-dimensional (p≫n)	Inherent capacity, Model-specific tools	Possible	Semi-parametric, Non-parametric	R, Python	Technical but well documented
	No		Additive noise models	Causal discovery	Asymmetry-based																										
	No		Granger causality	Causal discovery, Alternative paradigms	Prediction-based approaches																										
Miriam Beck	To invite	MB	CCM	Causal discovery, Alternative paradigms	Prediction-based approaches	Causal relationship(s)	Oriented link		Time-series (one sample), Panel data (many samples)	≥ 10	No	Don't know, No	No: requires prelim. correction	Don't know	Assumption-free	Inapplicable, Recommended	Inapplicable	Inapplicable	Don't know	Don't know, Inapplicable	Don't know, Inapplicable	Don't know	Don't know, Stationarity	Inapplicable, Don't know	Inapplicable, Continuous / Time-varying	Inapplicable	Don't know	Yes	Non-parametric	R, Python, Don't know	Technical but well documented
	No		Bayesian network learning	Causal discovery, Alternative paradigms																											
	No		Info-geom. causal inference	Alternative paradigms																											
Maria J. Santos / UZH	To invite		SES & Network analysis (~adjusted method)	Alternative paradigms, Adjusted methods (Backdoor C.)																											
	No		Causal diffusion models	Alternative paradigms																											
	No		Marginal structural models	Alternative paradigms, Adjusted methods (Backdoor C.)	Intermediate confounding																										
	No		G methods	Alternative paradigms, Adjusted methods (Backdoor C.)	Intermediate confounding																										
	No		Invariant causal prediction	Alternative paradigms, Causal discovery	Prediction-based approaches																										
Miriam Beck	To invite	MB	S-Map	Alternative paradigms	Prediction-based approaches	Effect estimation	Others		Time-series (one sample), Panel data (many samples)	≥ 10, ≥ 100	No	No		Don't know	Assumption-free	Recommended, Inapplicable	Don't know	Inapplicable	Don't know	Inapplicable	Inapplicable		No specific	Don't know	Continuous / Time-varying, Inapplicable	Bivariate, Multivariate	Don't know	Yes	Non-parametric	R, Python	Technical but well documented
	No		Treatment assignment graph	Versatile tools	Visualisation helpers																										
	No		Covariate timeline	Versatile tools	Visualisation helpers																										
	No		Reporting measures	Versatile tools	Visualisation helpers																										
	No		Best practice boxes	Versatile tools	Visualisation helpers																										
	No		Partial identification	Versatile tools	Uncertainty tools, Robustness & significance tests																										
	No		Sensitivity analyses	Versatile tools	Robustness & significance tests																										
	No		Placebo tests	Versatile tools	Robustness & significance tests																										
	No		Power analyses	Versatile tools	Robustness & significance tests																										
	No		Counterfactual explanations	Versatile tools	Causal interpretability																										
	No		Do-calculus rules	Adjusted methods (Backdoor C.)	Alternative effect identification methods																										
	No		Linear, quadratic	Independent detection	Trend detection																										
	No		RS breakpoint detection	Independent detection	RS breakpoint detection																										
VITO	To invite		LandTrendr	Independent detection	RS breakpoint detection																										
VITO	To invite		Vegetation Change Tracker (VCT)	Independent detection	RS breakpoint detection																										
WR	To invite		BFast	Independent detection	RS breakpoint detection																										
	No		DL change detection	Independent detection																											
	No		Outlier detection	Independent detection																											
	No		Diversity metrics, turnover, variance, phenology, sentinels	Independent detection	Frequently monitored indices																										
Romain Goury	Done	RG	Frescalo	Independent detection	Preliminary data correction	Effect estimation, Detection	Inapplicable	Inapplicable	Spatial only (cross-sectional), Panel data (many samples)	Handles ≤ 10, ≥ 10, ≥ 100	No	Yes	Yes	Few applications	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Unevaluated	Yes	Continuous / Time-varying	High-dimensional (p≫n)	Inherent capacity	Inapplicable	Inapplicable	R	Sparse documentation
	No	JM	Occupancy models	Independent detection, Ecology-guided Modelling	Preliminary data correction	Effect estimation, Predictive task + interpretability, Detection, Scenario projection	CATE	Moderate confidence	Panel data (many samples)	≥ 10	10 to 100	Yes	Partially	Few applications	Linear, Quadratic, Non-linear, Additivity, Assumption-free	Recommended	Recommended	Recommended, Relaxes assumption	Recommended	Required	Required	Relaxes assumption	Parallel trends, Stationarity, Normality of random effects, Good covariate balance, Instrument validity	Optional	All	Multivariate	Inherent capacity, Model-specific tools	Possible	Parametric, Semi-parametric	R, Python	User-friendly, Technical but well documented
	No	JM	Point process models	Independent detection, Ecology-guided Modelling	Preliminary data correction	Effect estimation, Predictive task + interpretability, Detection, Scenario projection	CATE	Moderate confidence	Panel data (many samples)	≥ 10	10 to 100	Yes	Partially	Few applications	Linear, Quadratic, Non-linear, Additivity, Assumption-free	Recommended	Recommended	Recommended, Relaxes assumption	Recommended	Required	Required	Relaxes assumption	Parallel trends, Stationarity, Normality of random effects, Good covariate balance, Instrument validity	Optional	All	Multivariate	Inherent capacity, Model-specific tools	Possible	Parametric, Semi-parametric	R, Python	User-friendly, Technical but well documented
Risto, Veera & Jussi (SYKE)	To invite		RIVPACS	Counterfactual & future simulations																											
Risto, Veera & Jussi (SYKE)	To invite		PREBAS	Counterfactual & future simulations	Ecosystem Process Models																										
Risto, Veera & Jussi (SYKE)	To invite		Ecopath (EwE)	Counterfactual & future simulations	Ecosystem Process Models																										
Risto, Veera & Jussi (SYKE)	To invite		Biogeochemistry models	Counterfactual & future simulations	Ecosystem Process Models																										
Risto, Veera & Jussi (SYKE)	To invite		Quantile regression	Ecology-guided Modelling	Linear regressions & extensions																										
	No		Variance partition	Ecology-guided Modelling																											
	No		Generalized Dissimilarity Models (GDMs)	Alternative paradigms, Ecology-guided Modelling																											
	No		Bayesian Structured TS	Alternative paradigms																											
Risto, Veera & Jussi (SYKE)	To invite		Autoregressive state-space models	Independent detection, Alternative paradigms																											
Christian Rossi	To invite		Monte Carlo	Versatile tools	Uncertainty tools	Significance and robustness tests	ATT, ATE, LATE, CATE, Mediation effects, Oriented link, Risk ratios, Maps & generalisations, Others	External, Moderate confidence, Internal, Varying	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Few applications	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Recommended	Recommended	Inapplicable	Stationarity, Instrument validity, Normality of random effects	Optional	All	High-dimensional (p≫n), Multivariate, Bivariate, Univariate	Inherent capacity	No, Possible, Yes	Rule-based, Non-parametric, Semi-parametric, Parametric	R, Python	Technical but well documented
Risto, Veera & Jussi (SYKE)	To invite		TRIM	Independent detection	Trend detection																										
	No		Markov switching autoregression models	Independent detection																											
VITO	To invite		Lowess Regression	Independent detection, Versatile tools	Preliminary data correction																										
Christian Rossi	To invite		Bootstrapping	Versatile tools	Uncertainty tools																										
	No		Causal GNNs	Causal ML																											
	No		Conformal inference	Versatile tools	Uncertainty tools																										
	No		First-difference estimator	Quasi-experiments																											
	No		Long difference estimator	Quasi-experiments																											